,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,49,NaN,5237,1,20060,654488,NaN
1,1,36,1,5237,5699,7752,677968,NaN
2,1,39,0,5237,4085,6777,691663,NaN
3,1,51,1,5237,5554,4960,703065,NaN
4,1,61,1,5237,5354,4576,713031,NaN
5,1,61,0,5237,356,2745,720352,NaN
6,1,64,1,5237,4465,8697,732768,NaN
7,1,69,1,5237,4374,3585,742120,NaN
8,1,68,0,5237,5253,1544,748816,NaN
9,1,72,1,5237,3737,3673,758640,NaN
10,1,73,0,5237,3910,1985,765159,NaN
11,1,66,0,5237,4574,4514,773368,NaN
12,1,59,0,5237,5214,3298,781144,NaN
13,1,64,1,5237,2478,2250,787775,NaN
14,1,59,0,5237,5955,2984,795152,NaN
15,1,65,1,5237,2472,1682,800888,NaN
16,1,74,1,5237,2305,2019,806856,NaN
17,1,71,0,5237,4291,3746,814584,NaN
18,1,72,0,5237,5376,2098,823175,NaN
19,1,76,1,5237,1316,2585,830352,NaN
20,1,67,0,5237,3980,1826,836344,NaN
