,cb,estimate,feedback,pair0,pair1,rt,time_elapsed,truth
0,1,14,NaN,7858,1,18889,977953,1
1,1,19,1,7858,7614,11177,1013319,1
2,1,24,1,7858,7566,7113,1037319,1
3,1,17,0,7858,8285,4659,1056210,1
4,1,25,1,7858,7560,12940,1094166,1
5,1,23,0,7858,8025,3314,1110516,1
6,1,30,1,7858,7158,4115,1129210,1
7,1,34,1,7858,6547,7148,1151209,1
8,1,31,0,7858,7561,4352,1166526,1
9,1,36,1,7858,6500,3009,1181167,1
10,1,33,0,7858,8389,5155,1200102,1
11,1,31,0,7858,7875,3207,1237484,1
12,1,30,0,7858,5229,3520,1256465,1
13,1,33,1,7858,5569,6837,1288972,1
14,1,31,0,7858,7695,4460,1308847,1
15,1,36,1,7858,4873,7450,1338081,1
16,1,37,1,7858,4200,8532,1366380,1
17,1,35,0,7858,8303,5093,1396422,1
18,1,32,0,7858,5278,11199,1422644,1
19,1,33,1,7858,1865,4602,1442903,1
20,1,34,0,7858,7761,4420,1458083,1
